epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,7264.45,1.0431,1.15691,1.54609,0.57092,0.57862,0.5768,0.35346,0.03099,0.34579,1.82898,1.66792,2.54805,0.000600906,0.000600906,0.000600906
131,7327.88,1.04904,1.16441,1.5473,0.53943,0.53812,0.55772,0.3284,0.04019,0.33766,1.83084,1.67703,2.52247,0.000597812,0.000597812,0.000597812
132,7395.2,1.03236,1.13647,1.53459,0.59598,0.53318,0.53344,0.31514,0.05257,0.32367,1.85329,1.7155,2.58675,0.000594719,0.000594719,0.000594719
133,7456.74,1.04021,1.1464,1.54611,0.5996,0.54102,0.58172,0.35543,0.0288,0.35071,1.81561,1.66042,2.50664,0.000591625,0.000591625,0.000591625
134,7518.94,1.04007,1.12906,1.55211,0.54279,0.55167,0.5394,0.30193,0.0063,0.31697,1.86842,1.74112,2.61837,0.000588531,0.000588531,0.000588531
135,7583.54,1.04724,1.13434,1.54777,0.52294,0.57574,0.56305,0.33034,0.02212,0.33181,1.85023,1.66321,2.5863,0.000585438,0.000585438,0.000585438
136,7642.85,1.03512,1.12628,1.53166,0.55771,0.54454,0.55518,0.32766,0.02964,0.32547,1.8364,1.70893,2.54527,0.000582344,0.000582344,0.000582344
137,7703.03,1.07884,1.16907,1.57698,0.52719,0.53312,0.52314,0.34079,0.03064,0.31408,1.89322,1.75042,2.61538,0.00057925,0.00057925,0.00057925
138,7765.36,1.0189,1.12763,1.5395,0.5127,0.54905,0.5373,0.34182,0.03796,0.32822,1.8836,1.78535,2.63506,0.000576156,0.000576156,0.000576156
139,7828.7,1.04904,1.16556,1.5585,0.53634,0.53926,0.51872,0.29585,0.02649,0.30634,1.86574,1.732,2.66313,0.000573063,0.000573063,0.000573063
140,7891.13,1.02064,1.12435,1.53039,0.60567,0.54402,0.54314,0.32807,0.04804,0.32485,1.86871,1.63167,2.6708,0.000569969,0.000569969,0.000569969
141,7953.78,1.01607,1.11408,1.51605,0.60035,0.52323,0.54509,0.32686,0.02194,0.32854,1.83183,1.7031,2.55489,0.000566875,0.000566875,0.000566875
142,8016.84,1.03361,1.14202,1.53689,0.64432,0.49306,0.53892,0.31492,0.03925,0.32206,1.8468,1.69058,2.58964,0.000563781,0.000563781,0.000563781
143,8079.09,1.02903,1.11599,1.52067,0.5908,0.52136,0.53953,0.32747,0.0181,0.32397,1.85123,1.74031,2.57235,0.000560687,0.000560687,0.000560687
144,8139.33,1.02742,1.12256,1.52114,0.61706,0.4912,0.50934,0.30146,0.00423,0.2996,1.84578,1.73178,2.58527,0.000557594,0.000557594,0.000557594
145,8201.91,1.03736,1.12657,1.53026,0.60409,0.5223,0.5189,0.3055,0.01219,0.30351,1.86044,1.77622,2.58471,0.0005545,0.0005545,0.0005545
146,8266.63,1.02815,1.11206,1.53229,0.65246,0.54942,0.55296,0.31811,0.03684,0.32821,1.81386,1.74132,2.54268,0.000551406,0.000551406,0.000551406
147,8330.4,1.00949,1.08865,1.51689,0.62013,0.51772,0.57311,0.3252,0.03596,0.33988,1.81604,1.70051,2.53976,0.000548312,0.000548312,0.000548312
148,8392.95,0.99512,1.07299,1.50215,0.69687,0.5163,0.5765,0.32852,0.03505,0.34254,1.81434,1.67754,2.52464,0.000545219,0.000545219,0.000545219
149,8456.8,1.01866,1.10275,1.5125,0.65699,0.52949,0.57729,0.33861,0.03685,0.34696,1.79783,1.63644,2.53772,0.000542125,0.000542125,0.000542125
150,8519.31,1.0151,1.07178,1.50654,0.62234,0.52719,0.57057,0.32552,0.00986,0.34032,1.8015,1.66369,2.49905,0.000539031,0.000539031,0.000539031
151,8578,0.99514,1.08741,1.50094,0.54091,0.58701,0.56778,0.31774,0.01144,0.33295,1.81425,1.70953,2.55185,0.000535937,0.000535937,0.000535937
152,8638.28,0.99845,1.08291,1.4896,0.67537,0.50459,0.55018,0.29501,0.03742,0.32004,1.83711,1.65195,2.55709,0.000532844,0.000532844,0.000532844
153,8702.08,0.97122,1.05543,1.47595,0.56263,0.54796,0.55564,0.33851,0.01742,0.33677,1.83135,1.66779,2.57069,0.00052975,0.00052975,0.00052975
154,8764.45,0.98617,1.06386,1.48867,0.65273,0.49939,0.5598,0.31902,0.05073,0.3392,1.86289,1.62502,2.59813,0.000526656,0.000526656,0.000526656
155,8827.77,0.98609,1.07735,1.49412,0.54758,0.56029,0.56222,0.31009,0.04986,0.33656,1.84913,1.66919,2.60113,0.000523563,0.000523563,0.000523563
